Date,Open,High,Low,Close,Adj Close,Volume
2017-08-07,808.139648,808.139648,798.704102,800.586243,783.450684,4401364
2017-08-08,801.403503,802.914185,785.949951,793.751038,776.761841,5058636
2017-08-09,793.230957,802.394104,785.058411,791.893616,774.944031,4816513
2017-08-10,789.045654,795.781799,781.566528,784.736511,767.940186,4701836
2017-08-11,768.193298,782.581909,759.302551,765.865356,749.472900,7843781
2017-08-14,773.171082,784.810791,773.171082,779.139526,762.462952,6202842
2017-08-16,778.619446,780.600708,767.821838,775.697144,759.094299,6265622
2017-08-17,777.133545,791.324036,773.245422,776.192444,759.579041,7304951
2017-08-18,774.657043,781.492249,769.282959,780.303528,763.602173,3662412
2017-08-21,781.096008,784.637451,772.799622,774.855164,758.270264,3495195
2017-08-22,778.619446,782.532349,770.719360,772.700562,756.161865,4399773
2017-08-23,775.078064,785.826172,769.282959,783.597290,766.825317,3839702
2017-08-24,787.534973,789.070374,774.904663,776.663025,760.039490,5839979
2017-08-28,782.111389,783.547729,773.270142,775.920044,759.312439,5684028
2017-08-29,773.592102,776.390564,757.816650,758.881531,742.638550,6998558
2017-08-30,766.509277,777.034485,763.388855,774.706543,758.124817,4769560
2017-08-31,780.105408,791.224976,779.610046,789.763855,772.859985,11585780
2017-09-01,792.413696,800.710083,791.992676,797.490601,780.421265,7121827
2017-09-04,800.165222,810.393311,790.432495,799.100342,781.996582,9950182
2017-09-05,807.347168,809.749390,802.914185,808.634949,791.327148,11637538
2017-09-06,805.564087,818.491516,803.780945,814.974854,797.531372,22496263
2017-09-07,815.272034,824.682861,807.347168,810.418030,793.072083,7478761
2017-09-08,812.300232,815.519714,804.474365,809.229309,791.908752,6114140
2017-09-11,813.588013,819.085876,808.882629,810.219910,792.878174,5856706
2017-09-12,815.024353,817.253235,809.328369,816.015015,798.549255,2999837
2017-09-13,816.262634,851.825562,814.281433,841.027893,823.026733,13557530
2017-09-14,847.764038,853.410522,834.093628,835.926270,818.034302,5476914
2017-09-15,834.093628,844.841736,826.911682,833.895508,816.046936,13196770
2017-09-18,842.018494,843.058655,835.183289,837.610291,819.682251,2336110
2017-09-19,840.730713,840.780273,829.140564,830.725525,812.944885,3562177
2017-09-20,848.061218,864.307251,837.164490,839.195251,821.233398,11511053
2017-09-21,839.046692,843.702515,828.397644,833.449707,815.610718,5976672
2017-09-22,832.013367,832.013367,805.564087,809.724609,792.393433,5673719
2017-09-25,807.347168,820.175537,797.639160,813.835632,796.416504,6566972
2017-09-26,813.984253,819.283997,804.573425,812.399292,795.010864,4875350
2017-09-27,817.847595,817.946655,788.030273,791.645996,774.701721,8514143
2017-09-28,792.141296,795.360779,772.873901,779.065247,762.390320,13636223
2017-09-29,784.315491,785.949951,771.784241,773.567383,757.010071,7691452
2017-10-03,787.534973,796.301880,777.975586,790.853516,773.926208,8466559
2017-10-04,791.695496,817.203735,788.129333,811.161011,793.799072,8725859
2017-10-05,817.253235,820.670837,810.962891,816.411255,798.937012,4906551
2017-10-06,816.262634,831.468506,814.875793,829.190125,811.442322,5998431
2017-10-09,831.121826,831.914307,820.225098,822.850220,805.238098,4084462
2017-10-10,823.196899,839.343872,823.196899,835.282349,817.404114,6798826
2017-10-11,837.362610,850.339600,828.149963,832.260986,814.447449,7116625
2017-10-12,834.192688,868.566833,834.192688,864.554871,846.050110,8603714
2017-10-13,871.043396,882.336304,865.149231,868.220154,849.636963,9926723
2017-10-16,870.746216,883.624146,853.212402,868.566833,849.976257,14772250
2017-10-17,869.755615,875.699219,859.057007,866.139832,847.601135,6414314
2017-10-18,869.161194,909.280945,866.783752,905.912842,886.522888,16924095
2017-10-19,907.200623,913.243347,894.520813,901.356018,882.063599,3698813
2017-10-23,904.327881,935.829285,900.563538,930.925781,911.000488,12670626
2017-10-24,938.801086,938.801086,919.484192,925.477417,905.668640,6395360
2017-10-25,931.272461,937.018005,920.771973,931.074341,911.145874,4620435
2017-10-26,931.173401,948.806274,922.257935,938.503906,918.416382,7771680
2017-10-27,941.079529,947.716614,917.007690,921.118713,901.403320,5306577
2017-10-30,925.229736,936.671265,921.861694,933.649902,913.666260,3610434
2017-10-31,936.076904,936.869385,923.446655,932.015442,912.066833,4386549
2017-11-01,938.850647,948.806274,936.869385,943.605591,923.408813,8109185
2017-11-02,943.853210,947.518494,935.383484,937.711426,917.640869,4743147
2017-11-03,946.973633,946.973633,931.322021,936.423645,916.380615,2214524
2017-11-06,933.649902,933.649902,920.276672,923.743835,903.972229,4503082
2017-11-07,924.585876,926.220337,894.570374,898.186096,878.961548,9436552
2017-11-08,894.025513,897.492676,875.798279,879.463562,860.639709,8192911
2017-11-09,886.348328,901.356018,883.673645,892.044312,872.951233,6925831
2017-11-10,892.490112,892.490112,870.944336,875.550659,856.810608,6425509
2017-11-13,876.689880,883.525085,865.297852,867.031433,848.473755,4194396
2017-11-14,866.783752,886.595947,864.802551,878.373901,859.573364,5760193
2017-11-15,876.194580,882.237244,869.706055,875.402039,856.665161,7048053
2017-11-16,877.185181,897.492676,877.185181,895.362854,876.198669,6996737
2017-11-17,910.321045,916.215210,899.969177,903.337280,884.002441,5639193
